Year,Month,Rainfall_mm,Temperature_C,Water_Consumption_MLD,Reservoir_Level_MCM,Population,Water_Availability_MLD,Scarcity_Level
2010,11,133.0,27.5,338.65,241.43,2737130,636.75,Low
2010,11,52.8,27.3,224.79,184.38,1962699,488.97,Low
2010,11,21.8,26.4,363.42,202.83,2398093,501.09,Low
2010,12,11.7,24.5,464.84,185.55,3077713,398.64,Medium
2010,12,185.6,24.8,572.36,218.55,3288586,512.63,Medium
2010,12,24.1,27.5,522.34,189.88,3673634,335.75,High
2010,12,56.6,24.2,211.39,248.95,1378125,700.29,Low
2010,12,38.5,25.5,629.27,212.08,3766573,426.38,High
2010,12,15.1,29.5,494.56,181.26,4303096,390.26,High
2010,12,39.6,25.8,480.2,190.02,3426348,381.95,High
2010,12,29.2,28.1,454.05,215.85,3751870,501.51,Medium
2010,12,6.6,24.1,231.91,196.31,1866581,520.56,Low
2010,12,5.6,25.1,320.32,203.88,2630848,479.02,Low
2010,12,32.5,26.1,636.16,226.55,4411690,481.32,High
2010,12,40.0,27.2,346.76,239.26,3196420,593.71,Low
2010,12,155.4,26.5,227.57,242.32,1485945,672.31,Low
2010,12,70.0,25.2,129.08,198.68,1061608,608.8,Low
2010,12,54.0,26.1,459.54,134.64,3822436,209.21,High
2010,12,8.4,24.5,153.87,127.39,1066476,319.87,Low
2010,12,31.9,22.3,549.32,196.09,4303825,428.06,High
2010,12,7.5,25.4,604.15,208.89,3632345,344.92,High
2010,12,36.3,25.9,127.98,168.91,966577,454.79,Low
2010,12,7.8,27.5,260.73,226.21,1958380,536.95,Low
2011,1,44.0,29.0,546.81,186.23,3901167,336.24,High
2011,1,45.6,25.1,439.93,178.56,3430154,424.72,Medium
2011,1,49.6,28.7,417.98,217.78,3241150,448.98,Medium
2011,1,27.9,26.0,245.27,190.07,1851072,475.39,Low
2011,1,94.4,25.5,250.52,230.38,1816427,732.9,Low
2011,1,12.0,28.6,532.68,190.35,4146666,306.01,High
2011,1,8.0,25.3,174.76,167.08,1691206,462.62,Low
2011,1,81.0,26.5,326.28,199.58,2109596,455.26,Low
2011,1,80.6,23.1,568.38,204.3,3907209,406.91,High
2011,1,40.9,28.8,369.74,151.29,2695150,325.59,Medium
2011,1,20.6,26.2,270.29,209.88,2054672,529.32,Low
2011,1,20.6,28.8,132.25,199.08,1019916,536.87,Low
2011,1,9.9,25.4,588.94,174.34,4250108,299.48,High
2011,1,17.6,26.1,364.34,230.23,3769424,573.15,Low
2011,1,64.6,26.0,185.53,177.53,1461891,436.16,Low
2011,1,11.5,28.4,169.47,139.65,1088534,394.98,Low
2011,1,99.0,25.2,97.67,246.03,861776,717.06,Low
2011,1,71.9,26.9,476.98,165.71,3524689,390.95,Medium
2011,2,38.8,26.9,395.74,230.78,3107521,555.27,Low
2011,2,9.9,28.2,327.83,149.42,2725285,301.14,Medium
2011,2,9.2,27.0,346.8,144.76,2536318,265.24,High
2011,2,43.6,31.2,577.4,167.6,4108141,220.17,High
2011,2,105.4,27.6,167.45,203.84,1172541,555.32,Low
2011,2,94.1,27.2,277.45,262.98,2075760,783.71,Low
2011,2,29.0,28.7,418.28,183.38,2791393,405.56,Medium
2011,2,36.5,27.3,648.26,186.58,4493753,267.49,High
2011,2,25.7,28.0,269.55,202.02,2180965,511.49,Low
2011,2,65.4,25.8,547.16,203.2,4322149,392.04,High
2011,2,67.0,28.0,247.6,263.91,1751701,678.35,Low
2011,2,37.6,30.3,358.69,203.04,2183991,427.66,Medium
2011,2,27.0,27.2,128.88,245.4,1091827,656.45,Low
2011,2,28.2,25.3,410.91,205.18,3565666,494.69,Low
2011,2,53.7,27.3,593.99,166.29,4436048,226.42,High
2011,3,23.6,29.2,422.56,245.52,2617677,511.2,Low
2011,3,53.9,26.8,178.49,165.4,1046744,506.16,Low
2011,3,56.0,29.3,458.18,206.42,2620178,540.72,Medium
2011,3,7.5,29.3,496.25,145.79,4001274,259.41,High
2011,3,80.6,31.2,444.13,182.6,2548211,373.46,Medium
2011,3,67.2,28.3,502.2,194.69,3751296,386.15,High
2011,3,34.3,30.0,383.48,179.89,3264736,384.49,Medium
2011,3,2.4,30.5,352.08,184.12,2343694,449.93,Low
2011,3,32.7,28.3,606.33,137.33,3670319,185.93,High
2011,3,7.5,29.7,594.03,137.26,4508643,122.6,High
2011,3,40.2,30.9,201.04,230.98,1429676,635.37,Low
2011,3,26.5,31.2,502.24,172.23,3371646,385.67,High
2011,3,68.5,28.2,124.69,256.49,885414,794.35,Low
2011,3,41.1,26.9,270.39,208.23,1843064,536.65,Low
2011,3,7.9,30.9,312.68,156.06,1874991,337.01,Medium
2011,3,95.7,28.7,237.2,209.68,2023265,590.39,Low
2011,3,60.1,30.8,493.7,157.91,3166248,289.23,High
2011,3,24.6,33.2,497.88,190.92,3687799,374.44,High
2011,3,39.8,28.9,526.27,130.39,3234862,200.93,High
2011,3,52.3,31.5,228.48,154.67,1984833,357.88,Low
2011,3,61.2,29.4,465.36,212.83,3210011,440.03,Medium
2011,4,45.4,31.2,428.03,212.34,3501486,568.43,Low
2011,4,26.0,36.1,713.66,164.88,4491227,246.92,High
2011,4,75.8,32.2,453.35,178.06,3486186,366.25,Medium
2011,4,55.2,30.9,439.21,176.41,2758839,384.81,Medium
2011,4,25.7,31.2,223.87,173.27,1595059,411.61,Low
2011,4,104.4,32.6,407.0,225.54,2955542,636.82,Low
2011,4,18.5,29.6,449.68,157.77,3480954,275.41,High
2011,4,21.6,34.9,594.62,225.96,3175918,449.16,High
2011,4,126.7,33.8,569.72,161.82,3758189,387.48,High
2011,4,44.1,35.2,452.35,211.79,3356564,504.93,Medium
2011,4,28.4,32.4,206.72,216.53,1192638,591.2,Low
2011,5,13.2,33.0,377.07,206.44,2374703,469.33,Low
2011,5,22.3,32.1,298.68,201.76,1953094,496.67,Low
2011,5,72.4,32.4,411.8,238.71,3245938,607.44,Low
2011,5,83.4,33.8,419.2,144.9,2675222,259.65,High
2011,5,34.7,34.0,514.47,204.96,3365244,472.19,Medium
2011,5,28.6,30.9,201.14,156.99,1789791,363.02,Low
2011,5,21.3,33.4,779.1,124.57,4504904,102.32,High
2011,5,102.7,35.0,535.94,233.91,4543805,564.04,Medium
2011,5,27.6,32.6,708.97,137.32,4485658,186.87,High
2011,5,62.3,34.3,237.2,209.56,1644774,564.08,Low
2011,6,149.8,35.7,642.75,188.92,4334064,392.91,High
2011,6,125.3,32.6,332.85,252.17,2033034,664.43,Low
2011,6,98.5,27.8,379.3,221.01,3028114,604.61,Low
2011,6,15.3,31.5,335.23,189.09,2292736,502.0,Low
2011,6,69.7,30.5,693.61,164.57,4522627,267.78,High
2011,6,114.7,31.5,354.78,253.49,2422929,636.28,Low
2011,6,164.2,33.0,108.69,203.51,820340,554.79,Low
2011,6,108.6,31.9,274.35,291.56,1773943,816.22,Low
2011,6,81.5,31.6,278.25,221.21,1946244,590.45,Low
2011,6,89.5,30.5,370.95,194.21,2381098,393.08,Medium
2011,6,325.8,31.0,318.32,329.06,2181597,934.42,Low
2011,7,453.3,31.2,665.03,362.88,4170674,953.08,Low
2011,7,123.5,29.8,426.72,266.69,3309043,635.63,Low
2011,7,34.9,30.8,502.72,163.22,3172182,281.79,High
2011,7,53.6,35.9,128.28,262.96,819354,731.42,Low
2011,7,106.3,31.8,430.06,198.5,3582272,473.45,Medium
2011,7,112.6,31.8,135.8,225.61,978821,597.65,Low
2011,7,124.1,28.6,479.64,216.53,3126179,502.18,Medium
2011,7,174.9,30.8,556.52,236.37,3964450,599.08,Medium
2011,7,87.0,31.0,492.86,241.48,3090218,523.17,Medium
2011,7,41.4,26.9,131.13,156.58,892901,439.55,Low
2011,7,174.1,32.7,273.95,232.48,1641222,628.26,Low
2011,7,103.3,32.3,175.98,255.92,1423255,690.71,Low
2011,7,34.2,34.9,577.8,158.75,3990056,272.11,High
2011,7,186.8,32.3,531.19,280.61,3535879,689.13,Low
2011,8,139.1,32.0,337.26,270.89,2141565,699.56,Low
2011,8,81.2,32.1,560.67,173.76,3455633,318.21,High
2011,8,133.8,33.5,224.66,253.89,1625340,671.63,Low
2011,8,66.2,29.9,348.52,189.44,2688932,416.2,Medium
2011,8,297.2,31.5,442.78,331.12,3134295,959.44,Low
2011,8,110.5,30.4,366.23,252.81,2792218,625.91,Low
2011,8,171.0,29.0,329.8,243.53,2019263,624.91,Low
2011,8,27.1,30.8,393.75,190.3,3497238,363.75,Medium
2011,8,251.8,32.1,364.1,253.0,3122691,715.19,Low
2011,8,180.8,26.9,236.83,266.6,1832850,804.08,Low
2011,8,95.2,28.3,144.49,215.18,864095,590.79,Low
2011,8,48.9,30.8,165.1,203.43,1128470,517.51,Low
2011,8,79.4,30.3,411.92,239.4,2764250,570.93,Low
2011,8,112.2,28.2,462.66,234.73,3009114,564.33,Low
2011,8,293.0,31.2,507.74,302.56,3247207,789.04,Low
2011,9,289.3,25.0,445.21,302.71,3403368,828.41,Low
2011,9,184.1,27.1,214.14,287.63,1748796,785.6,Low
2011,9,147.7,28.0,570.22,238.94,4237448,620.86,Medium
2011,9,79.3,27.6,338.78,193.32,2531216,452.82,Low
2011,9,55.2,27.8,306.18,195.5,2437210,488.55,Low
2011,9,26.7,28.4,205.03,172.26,1249489,387.94,Low
2011,9,86.1,28.3,600.18,180.42,4365672,291.32,High
2011,9,161.2,29.6,534.73,266.1,3438334,617.02,Medium
2011,9,41.6,29.1,438.01,220.03,3654239,482.26,Medium
2011,9,43.5,30.9,579.4,193.9,3715928,429.91,High
2011,9,139.7,30.5,491.04,223.14,3607813,524.83,Medium
2011,9,80.9,25.1,358.63,229.32,2474981,578.23,Low
2011,9,107.0,28.7,179.56,218.33,1352684,663.94,Low
2011,9,104.2,27.6,455.19,180.3,2876039,380.15,Medium
2011,9,54.1,26.1,281.0,235.63,2830001,655.35,Low
2011,9,110.0,29.1,441.04,188.59,3445876,462.02,Medium
2011,9,151.6,29.0,602.57,194.29,3793266,392.8,High
2011,10,97.7,30.0,332.65,253.19,2599323,636.83,Low
2011,10,37.4,28.2,117.96,205.97,914255,609.88,Low
2011,10,24.5,27.9,475.69,204.52,3904200,401.05,Medium
2011,10,33.0,28.8,293.15,193.99,2452531,433.41,Low
2011,10,27.6,25.1,491.93,189.11,3320958,382.75,High
2011,10,100.7,29.1,217.79,260.41,1643957,678.9,Low
2011,10,34.9,30.4,432.13,167.54,2659560,325.23,High
2011,10,70.1,26.3,669.25,163.06,4574945,280.47,High
2011,10,20.6,27.5,430.68,169.99,3385655,402.19,Medium
2011,10,41.2,29.5,157.62,248.56,933349,726.43,Low
2011,10,61.1,27.0,361.48,188.83,3099737,389.2,Medium
2011,10,60.7,26.8,406.1,202.81,3189496,545.83,Low
2011,10,12.2,26.6,352.12,186.15,2212674,434.61,Low
2011,10,7.8,28.9,225.28,156.45,1745842,336.91,Low
2011,10,31.3,28.3,517.2,158.28,3523714,314.27,High
2011,10,65.1,26.2,320.14,237.42,2865826,562.14,Low
2011,10,54.8,30.6,501.88,208.68,3235717,438.52,Medium
2011,10,26.4,27.6,371.15,158.98,2388616,355.15,Medium
2011,10,126.2,28.7,323.32,254.82,2007815,669.31,Low
2011,10,20.3,30.1,696.92,161.31,4064004,210.15,High
2011,10,66.6,26.7,643.69,183.67,3968560,312.44,High
2011,10,5.4,25.7,102.58,197.13,962173,487.5,Low
2011,11,35.1,27.1,169.39,164.55,1099984,388.73,Low
2011,11,42.8,26.3,371.87,209.84,3386944,533.97,Low
2011,11,23.9,26.8,473.22,130.93,3289994,243.05,High
2011,11,45.1,26.2,313.39,192.21,2426639,455.58,Low
2011,11,21.7,26.6,672.9,169.21,4514315,217.55,High
2011,11,22.0,26.1,425.18,178.56,4016725,393.76,Medium
2011,11,45.4,28.6,504.52,214.86,3868328,428.43,Medium
2011,11,64.5,25.6,518.14,184.75,4217250,450.65,Medium
2011,11,39.7,30.2,485.5,216.43,3170209,442.94,Medium
2011,11,82.3,28.9,480.81,263.38,3126306,558.64,Medium
2011,11,5.6,26.1,530.94,132.12,3912738,173.84,High
2011,11,20.1,24.8,196.86,143.03,1377915,337.46,Low
2011,11,106.1,26.3,230.97,211.83,2015189,519.4,Low
2011,11,21.2,24.0,515.01,171.81,4427017,365.91,High
2011,11,73.1,25.7,346.33,156.92,2549838,324.24,Medium
2011,11,108.5,26.8,262.67,259.7,1740974,636.57,Low
2011,11,28.9,26.4,159.92,167.8,1152096,422.78,Low
2011,11,32.8,25.7,492.1,131.82,3047597,225.82,High
2011,12,9.7,25.5,159.28,180.3,1277345,513.49,Low
2011,12,14.9,25.9,222.95,168.24,1872076,373.12,Low
2011,12,36.5,27.6,313.04,171.96,3034961,414.5,Low
2011,12,82.0,26.1,319.52,228.28,2053048,613.24,Low
2011,12,71.9,25.5,496.1,155.12,4536811,343.11,High
2011,12,30.4,27.2,589.66,178.63,4439036,290.66,High
2011,12,41.9,26.4,438.26,190.5,3138440,374.49,Medium
2011,12,76.3,25.9,390.78,236.68,2877999,583.09,Low
2011,12,9.3,24.7,283.41,138.36,2512119,312.66,Medium
2011,12,3.8,24.9,186.05,184.1,1311225,389.05,Low
2011,12,30.5,26.9,345.96,230.24,2553134,565.17,Low
2011,12,32.2,24.4,592.56,164.52,3935158,284.18,High
2011,12,7.9,24.3,295.23,136.86,2114796,325.4,Medium
2011,12,180.6,24.8,171.47,267.07,1723082,754.93,Low
2011,12,82.9,26.7,582.73,169.2,4017058,289.35,High
2011,12,62.2,26.3,203.92,216.02,1468987,582.33,Low
2011,12,114.6,26.9,436.77,230.48,2943901,477.79,Medium
2011,12,100.6,26.0,131.27,246.73,856665,746.14,Low
2011,12,61.5,24.7,314.05,180.39,2375646,409.58,Low
2011,12,13.1,24.6,348.71,140.88,2571805,312.33,Medium
2012,1,43.2,25.4,174.59,173.83,1297298,483.73,Low
2012,1,40.9,25.8,235.34,198.64,1601616,493.2,Low
2012,1,89.2,25.3,284.79,244.25,1913991,606.4,Low
2012,1,34.8,26.9,196.71,224.55,1464671,582.71,Low
2012,1,69.6,27.1,590.32,183.72,4406825,352.0,High
2012,1,23.8,24.4,320.88,233.43,2941674,584.23,Low
2012,1,55.1,26.4,399.67,165.37,2385257,385.41,Medium
2012,1,81.6,27.6,268.21,218.59,2125948,542.51,Low
2012,1,19.9,27.5,290.48,132.6,1786860,339.75,Medium
2012,1,54.7,28.5,419.41,225.54,2528016,570.32,Low
2012,1,84.6,29.6,148.8,271.55,1235465,798.31,Low
2012,1,159.1,28.7,452.66,183.44,3619124,460.79,Medium
2012,1,69.4,27.9,266.09,165.98,2025652,471.08,Low
2012,1,8.2,30.1,421.57,181.15,3847010,365.56,Medium
2012,1,58.0,23.1,679.77,188.57,4554981,321.31,High
2012,1,28.0,25.7,483.2,213.49,3130464,405.0,Medium
2012,1,29.7,27.2,122.68,237.85,895922,626.62,Low
2012,1,33.5,25.2,445.04,208.49,3384282,426.86,Medium
2012,1,15.3,26.8,504.42,171.27,3824579,342.6,High
2012,1,25.4,26.2,162.87,210.91,1288402,571.49,Low
2012,2,116.7,29.1,522.79,215.62,3610941,443.86,Medium
2012,2,69.8,30.4,609.36,146.7,3529138,314.73,High
2012,2,30.0,26.9,426.96,179.72,2748604,383.0,Medium
2012,2,51.8,31.0,288.82,260.72,1692079,638.2,Low
2012,2,69.3,28.3,681.9,194.12,3918973,350.68,High
2012,2,16.9,29.0,547.18,179.57,3666907,375.56,High
2012,2,131.2,27.0,249.4,189.98,2157931,468.4,Low
2012,2,75.6,31.4,524.63,245.4,3831077,597.12,Medium
2012,2,18.5,29.9,396.65,225.03,2781295,501.24,Low
2012,2,33.4,27.1,542.31,215.62,3778765,456.03,Medium
2012,2,16.7,28.6,566.7,135.5,4506380,173.9,High
2012,2,45.2,31.7,352.62,157.27,2015211,362.54,Medium
2012,2,31.9,26.5,323.18,190.54,2354189,558.44,Low
2012,2,110.5,26.7,426.98,176.08,4228402,401.82,Medium
2012,2,9.7,28.5,355.78,224.67,2275287,537.29,Low
2012,2,15.1,25.4,168.86,272.7,1206956,715.35,Low
2012,2,33.8,29.6,403.59,247.47,3923119,577.81,Low
2012,2,14.0,27.7,444.4,227.01,3294715,531.01,Medium
2012,2,62.7,28.9,167.76,266.83,1239308,794.64,Low
2012,2,139.9,30.3,207.08,279.46,1569630,766.53,Low
2012,2,12.2,25.3,410.71,108.52,3242951,139.63,High
2012,3,132.7,29.5,169.86,236.23,1068981,663.38,Low
2012,3,58.9,30.8,187.64,229.17,1204806,566.57,Low
2012,3,51.6,30.4,508.19,227.06,3310172,492.95,Medium
2012,3,32.8,25.9,217.33,245.02,1808027,604.81,Low
2012,3,74.1,31.5,504.41,223.55,3437685,455.02,Medium
2012,3,43.4,29.7,238.12,193.18,1814543,474.34,Low
2012,3,37.9,29.5,351.94,241.32,2645530,616.44,Low
2012,3,13.2,30.8,533.98,193.16,3766622,359.04,High
2012,3,137.7,31.4,571.28,254.16,3969809,576.43,Medium
2012,3,59.8,31.1,358.98,206.48,2274823,454.01,Low
2012,3,45.8,32.4,252.17,251.44,1750004,691.93,Low
2012,3,24.3,30.9,642.96,155.0,4655067,226.73,High
2012,3,46.4,29.3,228.27,161.41,1835384,374.69,Low
2012,3,9.7,32.9,232.82,171.39,1637444,391.55,Low
2012,3,7.8,29.1,472.08,233.62,2608223,567.82,Low
2012,3,51.9,29.7,390.46,176.75,2310476,412.29,Medium
2012,4,63.5,32.1,380.74,194.19,3209202,487.72,Low
2012,4,25.3,30.0,367.14,156.6,3670750,357.29,Medium
2012,4,31.8,31.5,383.62,174.92,2441102,398.66,Medium
2012,4,85.3,35.9,608.3,248.68,4213353,449.42,High
2012,4,125.7,31.2,276.06,219.18,2494854,546.67,Low
